vowel,time_index,v_time,time_abs,F1,F2,F3
a,4,0.017,16.546,654,1379,2559
a,5,0.022,16.551,667,1357,2536
a,6,0.028,16.557,678,1346,2537
a,7,0.034,16.562,690,1340,2548
a,8,0.039,16.568,701,1338,2564
a,9,0.045,16.574,705,1341,2578
a,10,0.05,16.579,703,1347,2586
a,11,0.056,16.585,695,1355,2590
a,12,0.061,16.59,674,1356,2587
a,13,0.067,16.596,649,1359,2588
a,14,0.073,16.602,618,1366,2596
a,15,0.078,16.607,605,1363,2586
uu,1,0,18.226,369,917,2409
uu,2,0.007,18.233,338,820,2488
uu,3,0.014,18.24,315,760,2528
uu,4,0.021,18.247,294,743,2553
uu,5,0.028,18.254,285,746,2552
uu,6,0.035,18.262,281,746,2560
uu,7,0.043,18.269,279,747,2573
uu,8,0.05,18.276,278,743,2587
uu,9,0.057,18.283,280,722,2594
uu,10,0.064,18.29,285,683,2606
uu,11,0.071,18.297,287,668,2625
uu,12,0.078,18.304,291,671,2625
uu,13,0.085,18.311,301,691,2614
uu,14,0.092,18.318,317,727,2609
uu,15,0.099,18.325,330,803,2613
U,1,0,20.044,417,1004,2509
U,2,0.004,20.048,415,984,2544
U,3,0.008,20.052,416,970,2560
U,4,0.013,20.057,420,959,2564
U,5,0.017,20.061,424,952,2565
U,6,0.021,20.065,426,948,2563
U,7,0.025,20.069,427,940,2571
U,8,0.03,20.074,427,928,2588
U,9,0.034,20.078,427,915,2603
U,10,0.038,20.082,427,899,2614
U,11,0.042,20.086,424,884,2627
U,12,0.046,20.091,417,868,2644
U,13,0.051,20.095,406,851,2657
U,14,0.055,20.099,385,829,2662
U,15,0.059,20.103,369,812,2661
oo,1,0,21.819,420,1145,2509
oo,2,0.013,21.832,414,998,2572
oo,3,0.026,21.845,412,887,2617
oo,4,0.039,21.858,407,810,2660
oo,5,0.052,21.87,403,744,2668
oo,6,0.065,21.883,405,689,2693
oo,7,0.078,21.896,404,628,2727
oo,8,0.091,21.909,401,652,2758
oo,9,0.104,21.922,410,682,2795
oo,10,0.117,21.935,408,747,2820
oo,11,0.13,21.948,406,825,2826
oo,12,0.142,21.961,403,895,2810
oo,13,0.155,21.974,408,960,2788
oo,14,0.168,21.987,410,1087,2784
oo,15,0.181,22,422,1158,2821
O,1,0,23.483,594,1210,2444
O,2,0.006,23.489,613,1178,2421
O,3,0.012,23.495,616,1133,2395
O,4,0.018,23.5,617,1093,2388
O,5,0.023,23.506,615,1060,2398
O,6,0.029,23.512,625,1056,2439
O,7,0.035,23.518,634,1059,2462
O,8,0.041,23.524,641,1069,2467
O,9,0.047,23.53,636,1089,2465
O,10,0.053,23.536,638,1116,2492
O,11,0.059,23.541,647,1148,2541
O,12,0.064,23.547,651,1190,2567
O,13,0.07,23.553,639,1224,2588
O,14,0.076,23.559,615,1250,2603
O,15,0.082,23.565,599,1259,2609
