vowel,time_index,v_time,time_abs,F1,F2,F3
ii,1,0,0.616,270,2206,2937
ii,2,0.019,0.635,253,2416,2846
ii,3,0.038,0.655,248,2691,3438
ii,4,0.058,0.674,250,2740,3552
ii,5,0.077,0.693,254,2763,3684
ii,6,0.096,0.712,264,2782,3814
ii,7,0.115,0.732,317,2870,3774
ii,8,0.135,0.751,315,2804,3905
ii,9,0.154,0.77,297,2958,3850
ii,10,0.173,0.789,278,2930,3340
ii,11,0.192,0.808,300,2860,3336
ii,12,0.212,0.828,366,2757,2934
ii,13,0.231,0.847,258,2775,2916
ii,14,0.25,0.866,248,2535,2933
ii,15,0.269,0.885,251,2476,3106
I,1,0,2.71,384,1992,2958
I,2,0.008,2.719,426,2042,2945
I,3,0.016,2.727,449,2065,2964
I,4,0.024,2.735,478,2124,2862
I,5,0.032,2.743,490,2177,2919
I,6,0.041,2.751,490,2158,2944
I,7,0.049,2.759,488,2155,3009
I,8,0.057,2.767,481,2140,3071
I,9,0.065,2.775,467,2135,3081
I,10,0.073,2.783,474,2111,3068
I,11,0.081,2.792,487,2116,3024
I,12,0.089,2.8,485,2070,2998
I,13,0.097,2.808,486,2104,2976
I,14,0.105,2.816,481,2145,2958
I,15,0.114,2.824,478,2162,2977
ee,1,0,5.528,334,2099,2912
ee,2,0.018,5.546,393,2499,3015
ee,3,0.036,5.564,363,2603,3162
ee,4,0.054,5.582,360,2565,3243
ee,5,0.072,5.6,398,2699,3294
ee,6,0.09,5.618,428,2692,3239
ee,7,0.108,5.636,468,2789,3127
ee,8,0.125,5.654,472,2690,3078
ee,9,0.143,5.672,469,2707,3123
ee,10,0.161,5.689,474,2626,3161
ee,11,0.179,5.707,475,2579,3233
ee,12,0.197,5.725,476,2148,2547
ee,13,0.215,5.743,483,826,2475
ee,14,0.233,5.761,481,2412,3166
ee,15,0.251,5.779,472,2416,3241
E,1,0,7.947,457,2013,2608
E,2,0.012,7.959,492,2198,2869
E,3,0.023,7.97,487,2249,2932
E,4,0.035,7.982,502,2282,2908
E,5,0.047,7.993,609,2379,3067
E,6,0.058,8.005,570,2312,3066
E,7,0.07,8.017,579,2257,3086
E,8,0.082,8.028,603,2246,3143
E,9,0.093,8.04,590,2252,3018
E,10,0.105,8.052,533,2232,3036
E,11,0.116,8.063,506,2352,3066
E,12,0.128,8.075,541,2402,3135
E,13,0.14,8.087,504,2274,3110
E,14,0.151,8.098,453,2374,3184
E,15,0.163,8.11,440,1997,2738
EE,1,0,10.941,346,2230,2927
EE,2,0.018,10.959,362,2437,3021
EE,3,0.036,10.977,346,2612,3236
EE,4,0.054,10.995,479,2657,3285
EE,5,0.072,11.013,524,2662,3224
EE,6,0.09,11.031,598,2564,3070
EE,7,0.108,11.049,607,2552,3062
EE,8,0.126,11.068,563,2428,3142
EE,9,0.144,11.086,600,2439,3136
EE,10,0.163,11.104,637,2329,3030
EE,11,0.181,11.122,467,2281,3211
EE,12,0.199,11.14,551,2322,3199
EE,13,0.217,11.158,637,2412,3123
EE,14,0.235,11.176,602,2387,3278
EE,15,0.253,11.194,448,2378,3121
yy,1,0,13.109,277,2058,2647
yy,2,0.015,13.124,262,2083,2645
yy,3,0.029,13.139,258,1939,2619
yy,4,0.044,13.153,263,1970,2703
yy,5,0.059,13.168,278,2008,2713
yy,6,0.073,13.183,288,1958,2646
yy,7,0.088,13.197,291,1992,2819
yy,8,0.103,13.212,304,1925,2616
yy,9,0.117,13.227,368,1971,2719
yy,10,0.132,13.241,477,1977,2721
yy,11,0.147,13.256,339,1971,2700
yy,12,0.161,13.271,278,1978,2700
yy,13,0.176,13.285,266,1999,2747
yy,14,0.191,13.3,259,2148,2892
yy,15,0.205,13.315,248,2100,2757
Y,1,0,16.048,397,1852,2822
Y,2,0.008,16.056,437,1761,2810
Y,3,0.017,16.065,467,1768,2632
Y,4,0.025,16.073,474,1814,2788
Y,5,0.033,16.081,453,1819,2847
Y,6,0.042,16.09,423,1838,2849
Y,7,0.05,16.098,376,1818,2858
Y,8,0.059,16.106,396,1825,2872
Y,9,0.067,16.115,392,1880,2946
Y,10,0.075,16.123,390,1858,3118
Y,11,0.084,16.132,474,1838,3106
Y,12,0.092,16.14,502,1849,2981
Y,13,0.1,16.148,498,1840,2904
Y,14,0.109,16.157,496,1837,2888
Y,15,0.117,16.165,488,1844,2818
OOE,1,0,18.958,489,1979,2612
OOE,2,0.013,18.971,447,2023,2694
OOE,3,0.026,18.984,472,1981,2048
OOE,4,0.04,18.998,475,1831,2430
OOE,5,0.053,19.011,524,1885,2446
OOE,6,0.066,19.024,527,1938,2468
OOE,7,0.079,19.037,432,1842,2231
OOE,8,0.093,19.051,423,1645,1845
OOE,9,0.106,19.064,445,1678,1944
OOE,10,0.119,19.077,540,1983,2981
OOE,11,0.132,19.09,586,1972,2891
OOE,12,0.145,19.103,618,1978,2842
OOE,13,0.159,19.117,586,1979,2842
OOE,14,0.172,19.13,489,1979,2778
OOE,15,0.185,19.143,462,1982,2841
OE,1,0,21.201,585,1920,2881
OE,2,0.008,21.21,594,1922,2776
OE,3,0.017,21.218,636,1866,2710
OE,4,0.025,21.226,648,1860,2801
OE,5,0.033,21.235,636,1864,2833
OE,6,0.042,21.243,636,1867,2951
OE,7,0.05,21.251,588,1812,2978
OE,8,0.059,21.26,540,1785,2946
OE,9,0.067,21.268,524,1799,3063
OE,10,0.075,21.277,472,1788,3080
OE,11,0.084,21.285,439,1773,3003
OE,12,0.092,21.293,438,1767,2933
OE,13,0.1,21.302,430,1789,3038
OE,14,0.109,21.31,423,1799,2983
OE,15,0.117,21.318,422,1849,2410
AA,1,0,23.754,485,1492,2943
AA,2,0.019,23.773,619,1313,3059
AA,3,0.038,23.793,559,1172,2880
AA,4,0.057,23.812,571,1186,2722
AA,5,0.076,23.831,667,1194,2926
AA,6,0.096,23.85,644,1185,2733
AA,7,0.115,23.869,686,1189,2902
AA,8,0.134,23.888,681,1212,2914
AA,9,0.153,23.907,772,1243,2933
AA,10,0.172,23.926,898,1202,2866
AA,11,0.191,23.945,885,1098,2586
AA,12,0.21,23.965,940,1314,2829
AA,13,0.229,23.984,865,1304,2708
AA,14,0.248,24.003,966,1392,2723
AA,15,0.267,24.022,896,1445,2781
a,1,0,25.864,605,1686,3136
a,2,0.009,25.872,696,1642,3087
a,3,0.017,25.881,719,1574,3105
a,4,0.026,25.889,721,1491,3050
a,5,0.034,25.898,712,1432,3102
a,6,0.043,25.906,725,1434,3102
a,7,0.051,25.915,725,1419,3052
a,8,0.06,25.923,710,1391,2673
a,9,0.068,25.932,771,1480,3029
a,10,0.077,25.94,731,1707,3033
a,11,0.085,25.949,662,1687,2981
a,12,0.094,25.957,664,1659,2978
a,13,0.102,25.966,665,1637,2948
a,14,0.111,25.974,701,1705,3034
a,15,0.119,25.983,743,1623,3048
UU,1,0,28.787,372,612,2967
UU,2,0.009,28.796,385,557,2739
UU,3,0.019,28.805,424,540,2804
UU,4,0.028,28.815,416,546,2821
UU,5,0.037,28.824,306,646,2778
UU,6,0.046,28.833,276,797,2847
UU,7,0.056,28.842,418,655,2852
UU,8,0.065,28.852,477,650,2738
UU,9,0.074,28.861,388,664,2860
UU,10,0.084,28.87,383,628,2727
UU,11,0.093,28.88,453,626,2698
UU,12,0.102,28.889,443,694,2740
UU,13,0.111,28.898,384,465,2758
UU,14,0.121,28.907,463,721,2716
UU,15,0.13,28.917,463,1890,3029
U,1,0,31.239,509,1018,2253
U,2,0.009,31.249,527,603,2459
U,3,0.018,31.258,504,530,2559
U,4,0.027,31.267,480,1859,3141
U,5,0.037,31.276,389,679,2574
U,6,0.046,31.285,474,769,2635
U,7,0.055,31.294,294,760,2414
U,8,0.064,31.304,366,781,2441
U,9,0.073,31.313,481,701,2474
U,10,0.082,31.322,502,633,2607
U,11,0.092,31.331,522,565,2521
U,12,0.101,31.34,531,614,2589
U,13,0.11,31.349,522,748,2782
U,14,0.119,31.359,517,780,2743
U,15,0.128,31.368,484,736,2602
OO,1,0,33.7,519,1909,3076
OO,2,0.011,33.711,521,1346,3011
OO,3,0.021,33.721,628,1325,2937
OO,4,0.032,33.732,662,1315,2853
OO,5,0.042,33.742,660,1283,2944
OO,6,0.053,33.753,665,1281,2943
OO,7,0.064,33.764,675,1271,2999
OO,8,0.074,33.774,674,1254,3014
OO,9,0.085,33.785,665,1286,3025
OO,10,0.095,33.795,662,1289,3024
OO,11,0.106,33.806,680,1297,3107
OO,12,0.117,33.817,671,1305,2983
OO,13,0.127,33.827,678,1303,2903
OO,14,0.138,33.838,672,1367,2929
OO,15,0.148,33.848,649,1377,3074
schwa,1,0,36.289,517,2098,2936
schwa,2,0.011,36.3,512,2020,2911
schwa,3,0.022,36.311,511,1986,2864
schwa,4,0.033,36.322,540,2020,2768
schwa,5,0.043,36.333,526,1977,2885
schwa,6,0.054,36.344,520,1949,3007
schwa,7,0.065,36.355,455,1962,2993
schwa,8,0.076,36.365,483,1990,2927
schwa,9,0.087,36.376,501,1982,2944
schwa,10,0.098,36.387,546,2015,2935
schwa,11,0.109,36.398,516,2003,2958
schwa,12,0.119,36.409,498,1985,2981
schwa,13,0.13,36.42,498,1979,2975
