sample,modal,inf,n,procent,syl_inf,xpos,upos,morph_aspect,xpos2
casniki,morati,uživati,4,0.22,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,vpisati,4,0.22,3,Ggdn,VERB,Perf,Vmen
casniki,morati,vprašati,4,0.22,3,Ggdn,VERB,Perf,Vmen
casniki,morati,znajti,4,0.22,2,Ggdn,VERB,Perf,Vmen
casniki,morati,živeti,4,0.22,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,izkazati,3,0.16,4,Ggdn,VERB,Perf,Vmen
casniki,morati,izkoristiti,3,0.16,5,Ggdn,VERB,Perf,Vmen
casniki,morati,izogibati,3,0.16,5,Ggnn,VERB,Imp,Vmpn
casniki,morati,končati,3,0.16,3,Ggdn,VERB,Perf,Vmen
casniki,morati,nadaljevati,3,0.16,5,Ggnn,VERB,Imp,Vmpn
casniki,morati,nameniti,3,0.16,4,Ggdn,VERB,Perf,Vmen
casniki,morati,napisati,3,0.16,4,Ggdn,VERB,Perf,Vmen
casniki,morati,obiskati,3,0.16,4,Ggdn,VERB,Perf,Vmen
casniki,morati,odstraniti,3,0.16,4,Ggdn,VERB,Perf,Vmen
casniki,morati,pisati,3,0.16,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,podati,3,0.16,3,Ggvn,VERB,Both,Vmbn
casniki,morati,poklicati,3,0.16,4,Ggdn,VERB,Perf,Vmen
casniki,morati,ponuditi,3,0.16,4,Ggdn,VERB,Perf,Vmen
casniki,morati,popraviti,3,0.16,4,Ggdn,VERB,Perf,Vmen
casniki,morati,potrditi,3,0.16,3,Ggdn,VERB,Perf,Vmen
casniki,morati,prenašati,3,0.16,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,prestaviti,3,0.16,4,Ggdn,VERB,Perf,Vmen
casniki,morati,preteči,3,0.16,3,Ggdn,VERB,Perf,Vmen
casniki,morati,preveriti,3,0.16,4,Ggdn,VERB,Perf,Vmen
casniki,morati,pripraviti,3,0.16,4,Ggdn,VERB,Perf,Vmen
casniki,morati,proti,3,0.16,2,Dd,UNK,UNK,Sd
casniki,morati,raziskati,3,0.16,4,Ggdn,VERB,Perf,Vmen
casniki,morati,razmisliti,3,0.16,4,Ggdn,VERB,Perf,Vmen
casniki,morati,razumeti,3,0.16,4,Ggvn,VERB,Both,Vmbn
casniki,morati,sedeti,3,0.16,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,soočiti,3,0.16,3,Ggdn,VERB,Perf,Vmen
casniki,morati,spoznati,3,0.16,3,Ggvn,VERB,Both,Vmbn
casniki,morati,sprijazniti,3,0.16,4,Ggdn,VERB,Perf,Vmen
casniki,morati,strinjati,3,0.16,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,ščititi,3,0.16,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,umakniti,3,0.16,4,Ggdn,VERB,Perf,Vmen
casniki,morati,urediti,3,0.16,4,Ggdn,VERB,Perf,Vmen
casniki,morati,ustvariti,3,0.16,4,Ggdn,VERB,Perf,Vmen
casniki,morati,zagotavljati,3,0.16,5,Ggnn,VERB,Imp,Vmpn
casniki,morati,zapustiti,3,0.16,4,Ggdn,VERB,Perf,Vmen
casniki,morati,zaupati,3,0.16,3,Ggvn,VERB,Both,Vmbn
casniki,morati,bati,2,0.11,2,Ggnn,VERB,Imp,Vmpn
casniki,morati,čuvati,2,0.11,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,dajati,2,0.11,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,delovati,2,0.11,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,dihati,2,0.11,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,dogovoriti,2,0.11,5,Ggdn,VERB,Perf,Vmen
casniki,morati,dokazovati,2,0.11,5,Ggnn,VERB,Imp,Vmpn
casniki,morati,dvigniti,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,igrati,2,0.11,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,izgubiti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,izpolniti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,izpustiti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,jesti,2,0.11,2,Ggnn,VERB,Imp,Vmpn
casniki,morati,kupiti,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,najeti,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,napraviti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,nastopiti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,nehati,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,obiskovati,2,0.11,5,Ggnn,VERB,Imp,Vmpn
casniki,morati,obleči,2,0.11,3,Ggdn,VERB,Perf,Vmen
casniki,morati,obnoviti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,oceniti,2,0.11,4,Ggdn,VERB,Perf,Vmen
casniki,morati,odpirati,2,0.11,4,Ggnn,VERB,Imp,Vmpn
