SubjID;WordType;Genus;Sigstark;En;E;Er;S;Z
12;Rhyme;Masc;4,00000000000000;4;8;0;0;0
12;Rhyme;Neut;3,98583333333333;4;8;0;0;0
13;NoRhyme;Fem;3,22800000000000;1;7;0;0;2
13;NoRhyme;Masc;3,22800000000000;1;7;0;0;2
13;NoRhyme;Neut;3,07666666666667;0;6;0;3;0
13;Rhyme;Fem;3,97500000000000;4;5;2;1;0
13;Rhyme;Masc;3,78727272727273;2;8;1;0;0
13;Rhyme;Neut;3,35909090909091;1;7;1;2;0
14;NoRhyme;Fem;2,51666666666667;0;2;0;10;0
14;NoRhyme;Masc;2,79666666666667;0;5;0;7;0
14;NoRhyme;Neut;2,51666666666667;0;2;0;10;0
14;Rhyme;Fem;2,89000000000000;0;6;0;6;0
14;Rhyme;Masc;2,81083333333333;0;5;0;7;0
14;Rhyme;Neut;3,36666666666667;2;5;0;5;0
15;NoRhyme;Fem;4,36583333333333;5;7;0;0;0
15;NoRhyme;Masc;4,86916666666667;9;3;0;0;0
15;NoRhyme;Neut;4,44909090909091;5;6;0;0;0
15;Rhyme;Fem;4,80916666666667;8;4;0;0;0
15;Rhyme;Masc;4,79500000000000;8;4;0;0;0
15;Rhyme;Neut;4,85500000000000;9;3;0;0;0
16;NoRhyme;Fem;3,98250000000000;3;9;0;0;0
16;NoRhyme;Masc;4,55750000000000;6;6;0;0;0
16;NoRhyme;Neut;4,76333333333333;7;5;0;0;0
16;Rhyme;Fem;3,50583333333333;4;6;1;0;1
16;Rhyme;Masc;3,98583333333333;4;8;0;0;0
16;Rhyme;Neut;3,70833333333333;4;7;1;0;0
17;NoRhyme;Fem;4,83750000000000;8;4;0;0;0
17;NoRhyme;Masc;4,23416666666667;5;7;0;0;0
17;NoRhyme;Neut;4,63166666666667;7;5;0;0;0
17;Rhyme;Fem;4,00000000000000;4;7;1;0;0
17;Rhyme;Masc;4,06000000000000;5;6;1;0;0
17;Rhyme;Neut;4,06000000000000;5;6;1;0;0
18;NoRhyme;Fem;3,56750000000000;1;10;1;0;0
18;NoRhyme;Masc;4,02500000000000;3;9;0;0;0
18;NoRhyme;Neut;4,28636363636364;4;7;0;0;0
18;Rhyme;Fem;3,20000000000000;0;8;4;0;0
18;Rhyme;Masc;3,44416666666667;1;9;2;0;0
18;Rhyme;Neut;3,93000000000000;3;8;1;0;0
19;NoRhyme;Fem;2,79666666666667;0;5;0;7;0
19;NoRhyme;Masc;3,07666666666667;0;8;0;4;0
19;NoRhyme;Neut;3,74000000000000;2;9;0;1;0
19;Rhyme;Fem;3,50583333333333;1;9;1;1;0
19;Rhyme;Masc;3,37916666666667;0;12;0;0;0
19;Rhyme;Neut;3,37916666666667;0;12;0;0;0
20;NoRhyme;Fem;4,33416666666667;5;6;1;0;0
