vowel,time_index,v_time,time_abs,F1,F2,F3
a,4,0.016,15.188,608,1366,2606
a,5,0.022,15.193,626,1346,2593
a,6,0.027,15.199,639,1329,2566
a,7,0.032,15.204,651,1313,2535
a,8,0.038,15.209,657,1308,2535
a,9,0.043,15.215,662,1305,2537
a,10,0.049,15.22,670,1316,2548
a,11,0.054,15.226,677,1328,2561
a,12,0.059,15.231,681,1346,2582
a,13,0.065,15.236,684,1365,2598
a,14,0.07,15.242,686,1387,2609
a,15,0.076,15.247,679,1394,2622
uu,1,0,16.823,394,1271,2392
uu,2,0.009,16.832,376,929,2322
uu,3,0.018,16.841,372,748,2399
uu,4,0.027,16.85,364,651,2490
uu,5,0.035,16.859,347,597,2521
uu,6,0.044,16.867,317,576,2511
uu,7,0.053,16.876,300,567,2509
uu,8,0.062,16.885,342,592,2541
uu,9,0.071,16.894,354,605,2536
uu,10,0.08,16.903,354,585,2557
uu,11,0.089,16.912,399,556,2594
uu,12,0.098,16.921,388,611,2580
uu,13,0.106,16.929,395,554,2510
uu,14,0.115,16.938,471,1222,2393
uu,15,0.124,16.947,542,2275,2689
U,1,0,18.176,455,1034,2600
U,2,0.004,18.18,450,1002,2599
U,3,0.008,18.184,444,971,2597
U,4,0.012,18.188,444,953,2602
U,5,0.016,18.192,445,936,2607
U,6,0.02,18.196,445,923,2611
U,7,0.024,18.2,446,915,2611
U,8,0.028,18.204,446,907,2612
U,9,0.032,18.208,444,898,2619
U,10,0.036,18.211,441,889,2627
U,11,0.04,18.215,438,880,2634
U,12,0.044,18.219,432,873,2641
U,13,0.048,18.223,427,865,2648
U,14,0.052,18.227,417,854,2657
U,15,0.056,18.231,407,842,2668
oo,1,0,19.554,362,945,2524
oo,2,0.015,19.57,410,841,2528
oo,3,0.031,19.585,410,843,2530
oo,4,0.046,19.601,405,783,2580
oo,5,0.062,19.616,397,721,2582
oo,6,0.077,19.631,397,666,2611
oo,7,0.093,19.647,395,675,2654
oo,8,0.108,19.662,412,659,2678
oo,9,0.123,19.678,417,638,2702
oo,10,0.139,19.693,421,669,2708
oo,11,0.154,19.709,398,738,2694
oo,12,0.17,19.724,407,829,2681
oo,13,0.185,19.739,423,926,2647
oo,14,0.201,19.755,425,1055,2604
oo,15,0.216,19.77,407,1187,2536
O,1,0,20.999,649,1211,2499
O,2,0.005,21.004,651,1187,2501
O,3,0.01,21.008,634,1155,2511
O,4,0.014,21.013,615,1121,2522
O,5,0.019,21.018,608,1098,2533
O,6,0.024,21.023,604,1078,2543
O,7,0.029,21.027,616,1081,2555
O,8,0.033,21.032,635,1093,2568
O,9,0.038,21.037,653,1112,2575
O,10,0.043,21.042,672,1136,2579
O,11,0.048,21.046,680,1155,2586
O,12,0.052,21.051,676,1168,2595
O,13,0.057,21.056,665,1177,2603
O,14,0.062,21.061,642,1178,2609
O,15,0.067,21.066,629,1179,2625
