EmoVal	Freq	WORD	WORD_LOWER	WORD_CLASS	EMO_MEAN	EMO_STD	AROUSAL_MEAN	AROUSAL_STD	IMAGE_MEAN	IMAGE_STD	LETTERS	PHONEMES	SYLLABLES	Ftot/1MIL	N	FN	HFN	FHFN	BIGmean(TOKEN)	ACCENT
POS	NF	WEITE	weite	N	1,4	1,4	2,2	1,1	3,8	1,5	5	4	2	10,7	8	747,8	5	728,5	325038,0	1
NEG	NF	WELKEN	welken	V	-1,5	0,5	2,4	1,1	5,1	1,6	6	6	2	0,8	6	141,0	5	113,0	288833,8	1
POS	HF	WELLE	welle	N	1,7	1,1	3,1	0,9	5,7	1,2	5	4	2	31,0	9	166,2	1	77,8	156620,3	1
POS	NF	WELPE	welpe	N	2,0	1,1	2,0	1,1	5,6	1,6	5	5	2	0,7	2	33,2	2	33,2	88713,3	1
POS	HF	WELT	welt	N	1,9	0,9	2,9	1,3	5,4	1,0	4	4	1	979,0	6	1330,0	1	1044,5	127168,0	1
POS	NF	WELTALL	weltall	N	0,8	1,2	3,3	0,9	5,7	1,1	7	6	2	9,3	0	0,0	0	0,0	122440,7	1
NEG	NF	WELTFERN	weltfern	A	-1,3	0,7	2,2	1,5	2,2	1,3	8	8	2	0,7	0	0,0	0	0,0	285021,4	1
NEG	HF	WELTKRIEG	weltkrieg	N	-2,8	0,6	4,6	0,8	5,5	1,6	9	8	2	87,2	0	0,0	0	0,0	108349,4	1
POS	NF	WELTRUHM	weltruhm	N	1,8	0,8	3,7	0,9	2,3	0,9	8	7	2	1,5	0	0,0	0	0,0	76798,4	1
POS	HF	WENDEN	wenden	V	0,3	0,8	2,1	0,9	3,6	1,8	6	6	2	139,0	5	11556,2	1	11503,0	703376,8	1
NEG	HF	WENIG	wenig	A	-0,9	1,0	1,5	0,8	3,1	1,2	5	5	2	628,8	1	1,0	0	0,0	360754,3	1
NEG	HF	WERBUNG	werbung	N	-0,5	1,0	2,9	0,7	5,0	1,2	7	6	2	23,0	1	8,3	0	0,0	384327,8	1
NEG	HF	WERFEN	werfen	V	-0,2	0,9	1,9	0,8	5,5	1,4	6	6	2	150,3	5	11547,8	1	11503,0	561822,2	1
POS	HF	WERK	werk	N	0,7	1,1	2,5	1,2	3,8	2,0	4	4	1	250,5	4	188,7	0	0,0	572245,0	1
POS	HF	WERT	wert	N	1,1	1,0	2,5	0,9	2,7	1,7	4	4	1	187,3	8	2839,5	4	2731,5	583835,7	1
NEG	NF	WERTLOS	wertlos	A	-1,4	1,0	2,4	1,4	1,7	0,7	7	7	2	1,8	1	37,0	1	37,0	303163,7	1
POS	HF	WERTVOLL	wertvoll	A	1,9	0,3	2,6	1,2	3,0	1,1	8	7	2	62,5	0	0,0	0	0,0	295463,0	1
