xpos2,inf0
Ggdn,odpeljati
Ggdn,odpustiti
Ggnn,odpuščati
Ggdn,odskočiti
Ggdn,odstopiti
Ggdn,odvzeti
Ggdn,ogledati
Ggnn,ohranjati
Ggdn,okužiti
Ggnn,omogočati
Ggdn,opomniti
Ggnn,opozarjati
Ggdn,opravičiti
Ggdn,opredeliti
Ggdn,opremiti
Ggdn,oskrbeti
Ggdn,osvežiti
Ggdn,ovrednotiti
Ggnn,piti
Ggdn,pobegniti
Ggvn,početi
Ggnn,podpirati
Ggdn,podpreti
Ggnn,pogajati
Ggdn,pojesti
Ggdn,pokopati
Ggdn,pokoriti
Ggnn,pokrivati
Ggnn,polagati
Ggdn,poleteti
Sommi,policisti
Ggdn,ponotranjiti
Ggnn,popravljati
Ggdn,porabiti
Ggdn,poravnati
Ggnn,poročati
Ggdn,posekati
Ggdn,posesati
Ggdn,poskusiti
Ggdn,poslati
Ggdn,pospešiti
Ggdn,postoriti
Ggdn,potrkati
Ggvn,potrpeti
Ggdn,poučiti
Ggnn,poudarjati
Ggdn,povišati
Ggdn,povzdigniti
Sozer,pozornosti
Ggdn,prebrati
Ggdn,prebroditi
Ggvn,prečkati
Ggdn,predati
Ggdn,predstaviti
Ggdn,prehoditi
Ggdn,prejeti
Ggdn,preklopiti
Ggdn,prelomiti
Ggdn,premagati
Ggnn,premagovati
Ggdn,premakniti
Ggdn,prenehati
Ggdn,prepoloviti
Ggdn,preprečiti
Ggdn,prepričati
Ggdn,preseči
Ggdn,preskočiti
Ggdn,prestati
Ggdn,pretrpeti
Ggdn,preučiti
Ggdn,preusmeriti
Ggdn,prevoziti
Ggdn,prevzeti
Ggdn,prevzgojiti
Ggdn,približati
Ggnn,pridobivati
Ggdn,priklopiti
Ggnn,prilagajati
Ggdn,priložiti
Ggnn,pripadati
Ggdn,pripeljati
Ggdn,pripomniti
Ggnn,pripovedovati
Ggdn,prisiliti
Ggdn,priskrbeti
Ggdn,prisluhniti
Ggvn,prispevati
Ggdn,pritrditi
Ggdn,priučiti
Ggdn,privaditi
Ggnn,privajati
Ggdn,prizemljiti
Ggnn,računati
Ggdn,razbiti
Ggdn,razjasniti
Ggnn,razkuževati
Ggdn,razkužiti
Ggdn,razočarati
Ggdn,razpisati
Ggdn,razporediti
Ggdn,razstrupiti
Ggnn,razvijati
Ggdn,razviti
Ggvn,reagirati
Ggvn,registrirati
Ggvn,roditi
Ggvn,samoizolirati
Ggvn,sankcionirati
Ggdn,sesti
Ggdn,seznaniti
Ggvn,sistemizirati
Ggnn,skladiščiti
Ggdn,skočiti
Ggdn,skrajšati
Ggnn,skrivati
Ggvn,slišati
Ggnn,služiti
Ggdn,sneti
Ggnn,soočati
Ggnn,spati
Ggdn,spoprijeti
Ggdn,spraviti
Ggdn,sprehoditi
Ggnn,sprejemati
Rsn,sproti
Ggdn,spustiti
Ggdn,srečati
Ggvn,staviti
Ggnn,streči
Ggnn,šolati
Ppnmmi,temeljiti
Ggnn,trajati
Ggnn,trenirati
Ggnn,trpeti
Sommi,turisti
Ggnn,tvoriti
Ggdn,ugotoviti
Ggdn,ugrizniti
Ggdn,ukrotiti
Ggdn,umiriti
Ggnn,umivati
Ggdn,umoriti
Ggdn,umreti
Ggdn,upodobiti
Ggdn,upokojiti
Ggnn,ustrezati
Sozer,varnosti
Ggnn,varovati
Ggdn,vcepiti
Ggvn,verjeti
Ggdn,vmešati
Ggdn,vnesti
Ggvn,voliti
Ggnn,vpisovati
Ggnn,vsebovati
Ggdn,vstati
Ggdn,vstopiti
Ggnn,vzdrževati
Ggdn,vzgojiti
Ggnn,zabavati
Ggdn,začutiti
Ggdn,zagnati
Ggdn,zagoreti
Ggdn,zahvaliti
Ggnn,zajemati
Ggdn,zamenjati
Ggnn,zanašati
Ggnn,zanimati
Ggdn,zaobjeti
Ggdn,zapolniti
Ggdn,zapomniti
Ggdn,zaprositi
Ggdn,zaslužiti
Ggdn,zastaviti
Pdnmmi,zaužiti
Ggdn,zavedeti
Pdnmmi,zavzeti
Ggnn,zbadati
Ggdn,združiti
Ggdn,zdržati
Ggdn,zvišati
Ggdn,zvrstiti
Ggvn,žrtvovati
Ggvn,upoštevati
Gp-n,biti
Ggdn,narediti
Ggnn,vedeti
Ggdn,zagotoviti
Ggdn,dati
Ggnn,nositi
Ggdn,odšteti
Ggdn,poudariti
Ggnn,bati
Ggnn,delati
Ggnn,obravnavati
Ggdn,počakati
Ggdn,poiskati
Ggdn,spremeniti
Ggdn,poskrbeti
Ggdn,predložiti
Ggdn,storiti
Ggnn,zavedati
Ggnn,čakati
Ggdn,dodati
Ggnn,iskati
Ggnn,izogibati
Ggdn,izpolniti
Ggdn,omeniti
Ggdn,opozoriti
Ggdn,priznati
Ggvn,razumeti
Ggnn,spoštovati
Ggnn,deliti
Ggnn,igrati
Ggnn,imeti
Ggdn,najti
Ggdn,nameniti
Ggdn,naučiti
Ggdn,opraviti
Ggvn,organizirati
Ggdn,osredotočiti
Ggdn,plačati
Ggnn,pošiljati
Ggnn,presojati
Ggdn,priti
Ggnn,skrbeti
Ggdn,začeti
Ggdn,zamenjati
Ggdn,dokazati
Ggnn,držati
Ggnn,gledati
Ggnn,govoriti
Ggvn,iti
Ggdn,izvesti
Ggdn,nadgraditi
Ggdn,nadoknaditi
Ggdn,obdržati
Ggdn,oddati
Ggdn,odločiti
Ggdn,ostati
Ggnn,paziti
Ggnn,plačevati
Ggdn,pogledati
Ggvn,pomagati
Ggdn,poseči
Ggdn,potruditi
Ggdn,povedati
Ggdn,preveriti
Ggdn,prevzeti
Ggdn,prezračiti
Ggdn,prijaviti
Ggdn,pripisati
Ggdn,prisluhniti
