vowel,time_index,v_time,time_abs,F1,F2,F3
OOE,6,0.058,22.458,555,1414,2593
OOE,7,0.069,22.47,549,1390,2517
OOE,8,0.081,22.482,543,1372,2503
OOE,9,0.093,22.493,545,1364,2530
OOE,10,0.104,22.505,542,1375,2549
OOE,11,0.116,22.516,535,1371,2627
OOE,12,0.127,22.528,540,1308,2800
OOE,13,0.139,22.539,563,1341,2891
OOE,14,0.151,22.551,563,1384,2892
OOE,15,0.162,22.563,591,1406,2923
U,1,0,24.158,470,1646,2973
U,2,0.004,24.162,507,1622,2937
U,3,0.008,24.167,526,1363,2925
U,4,0.012,24.171,536,1079,2920
U,5,0.017,24.175,534,845,2916
U,6,0.021,24.179,540,736,2935
U,7,0.025,24.183,545,682,2957
U,8,0.029,24.187,546,688,2975
U,9,0.033,24.191,540,709,2982
U,10,0.037,24.195,529,731,2987
U,11,0.041,24.2,510,749,2998
U,12,0.045,24.204,511,1129,3038
U,13,0.05,24.208,515,1507,3090
U,14,0.054,24.212,509,1542,3153
U,15,0.058,24.216,511,1598,3143
Y,1,0,25.55,352,1552,2611
Y,2,0.004,25.555,373,1542,2666
Y,3,0.008,25.559,406,1535,2705
Y,4,0.012,25.563,451,1530,2722
Y,5,0.017,25.567,486,1566,2705
Y,6,0.021,25.571,501,1610,2707
Y,7,0.025,25.575,490,1660,2739
Y,8,0.029,25.579,485,1694,2776
Y,9,0.033,25.583,486,1718,2806
Y,10,0.037,25.588,495,1729,2826
Y,11,0.041,25.592,499,1737,2813
Y,12,0.045,25.596,495,1749,2797
Y,13,0.05,25.6,479,1768,2781
Y,14,0.054,25.604,442,1770,2765
Y,15,0.058,25.608,398,1734,2728
uu,1,0,27.243,366,975,2679
uu,2,0.007,27.249,420,865,2838
uu,3,0.013,27.256,446,880,2934
uu,4,0.02,27.263,457,891,2990
uu,5,0.026,27.269,467,894,3029
uu,6,0.033,27.276,466,893,2999
uu,7,0.04,27.282,463,875,2986
uu,8,0.046,27.289,469,807,2974
uu,9,0.053,27.296,490,715,2761
uu,10,0.06,27.302,511,639,2750
uu,11,0.066,27.309,520,570,2720
uu,12,0.073,27.315,504,1319,3262
uu,13,0.079,27.322,553,2551,4294
uu,14,0.086,27.329,515,2151,3414
uu,15,0.093,27.335,459,2049,2496
yy,1,0,28.88,334,1467,2697
yy,2,0.007,28.887,351,1381,2568
yy,3,0.015,28.894,381,1351,2410
yy,4,0.022,28.902,399,1360,2469
yy,5,0.029,28.909,396,1362,2491
yy,6,0.036,28.916,397,1367,2453
yy,7,0.044,28.923,406,1369,2488
yy,8,0.051,28.931,409,1356,2540
yy,9,0.058,28.938,405,1346,2536
yy,10,0.065,28.945,423,1391,2571
yy,11,0.073,28.953,444,1431,2505
yy,12,0.08,28.96,448,1454,2587
yy,13,0.087,28.967,410,1502,2676
yy,14,0.095,28.974,367,1571,2772
yy,15,0.102,28.982,350,1627,2861
