vowel,time_index,v_time,time_abs,F1,F2,F3
ii,1,0,0.846,322,583,2710
ii,2,0.014,0.86,295,643,2676
ii,3,0.027,0.873,300,573,2592
ii,4,0.041,0.887,307,553,2598
ii,5,0.055,0.901,313,566,2658
ii,6,0.069,0.914,316,558,2903
ii,7,0.082,0.928,310,566,2759
ii,8,0.096,0.942,288,581,2767
ii,9,0.11,0.956,288,594,2615
ii,10,0.123,0.969,284,600,2613
ii,11,0.137,0.983,292,595,2681
ii,12,0.151,0.997,296,611,2859
ii,13,0.165,1.01,308,596,3180
ii,14,0.178,1.024,305,594,3201
ii,15,0.192,1.038,290,599,3036
I,1,0,2.456,465,617,2264
I,2,0.003,2.46,466,743,2289
I,3,0.007,2.463,451,887,2281
I,4,0.01,2.466,440,989,2271
I,5,0.013,2.469,438,1002,2255
I,6,0.017,2.473,436,1046,2272
I,7,0.02,2.476,435,1131,2334
I,8,0.023,2.479,431,1190,2437
I,9,0.026,2.483,426,1226,2575
I,10,0.03,2.486,421,1190,2627
I,11,0.033,2.489,414,1116,2634
I,12,0.036,2.493,414,1008,2642
I,13,0.04,2.496,415,889,2651
I,14,0.043,2.499,395,735,2689
I,15,0.046,2.503,371,577,2731
EE,1,0,4.236,619,1813,2471
EE,2,0.009,4.245,594,1825,2555
EE,3,0.019,4.255,601,1870,2735
EE,4,0.028,4.264,601,1904,2759
EE,5,0.038,4.273,610,1920,2859
EE,6,0.047,4.283,622,1923,2912
EE,7,0.057,4.292,628,1945,3002
EE,8,0.066,4.302,639,836,2126
EE,9,0.075,4.311,646,1995,3099
EE,10,0.085,4.321,644,1997,3114
EE,11,0.094,4.33,630,1015,1993
EE,12,0.104,4.339,619,1885,2871
EE,13,0.113,4.349,608,1910,2973
EE,14,0.123,4.358,482,728,2041
EE,15,0.132,4.368,616,2003,2965
E,1,0,5.969,614,1795,2763
E,2,0.004,5.973,610,1831,2829
E,3,0.008,5.977,611,1838,2893
E,4,0.012,5.981,619,1856,2921
E,5,0.016,5.985,626,1871,2940
E,6,0.02,5.989,628,1869,2960
E,7,0.024,5.993,632,1864,2953
E,8,0.028,5.997,636,1861,2945
