FED;FEDfull;Ambiguity.D;Length.L;Length.W;Emovalsq;Emoval;Arousal;Familiarity;Sem.transp;Figurative;Concrete;Ambig;Confidence
dsSchlsss;das Schlusslicht sein;0;19;3;2,227272727;0,136363636;3,772727273;3,606060606;3,803030303;5,015151515;3,606060606;0,075757576;5,303030303
dsTpfadis;das Tüpfelchen auf das i setzen;1;26;6;3,957746479;1,309859155;4,014084507;4,38028169;4,098591549;4,408450704;3,957746479;0,436619718;4,774647887
dsWrtergr;das Wort ergreifen;0;16;3;2,4;0,714285714;3,185714286;4,357142857;4,457142857;4,085714286;3,785714286;0,428571429;5,114285714
dWndhchgh;die Wände hochgehen;0;17;3;4,420289855;-0,971014493;4,971014493;4;3,47826087;4,608695652;3,47826087;0,376811594;5,217391304
dWshnmLgh;die Weisheit nicht mit Löffeln gegessen haben;0;39;7;3,710144928;-0,260869565;4,130434783;4,028985507;3,855072464;4,826086957;3,492753623;0,144927536;4,826086957
dWshtmLgh;die Weisheit mit Löffeln gefressen haben;0;35;6;3,144927536;-0,188405797;3,565217391;3,956521739;3,420289855;5,144927536;3,637681159;0,115942029;5,072463768
DZiabgfh!;Dieser Zug ist abgefahren!;1;23;4;4,830985915;-1,169014085;4,323943662;5,38028169;4,295774648;4,450704225;3,887323944;0,901408451;5,352112676
dZltabbrc;die Zelte abbrechen;1;17;3;1,728571429;-0,357142857;3,614285714;3,057142857;3,528571429;4,371428571;3,342857143;0,5;4,871428571
dZtttschl;die Zeit totschlagen;0;18;3;2,38028169;0,549295775;3,732394366;4,774647887;4,183098592;5,394366197;3,38028169;0,126760563;5,338028169
EbbindrKh;Ebbe in der Kasse haben;0;19;5;3,183098592;-0,61971831;3,309859155;3,14084507;3,845070423;4,788732394;3,549295775;0,253521127;4,85915493
einEnglsn;ein Engel sein;0;12;3;6,704225352;2,253521127;4,056338028;5,38028169;4,281690141;4,830985915;3,563380282;0,098591549;5,014084507
eingrMssn;eine graue Maus sein;0;17;4;3,228571429;-0,285714286;2,842857143;4,442857143;3,514285714;4,828571429;3,442857143;0,385714286;4,728571429
einMeshbn;eine Meise haben;1;14;3;4,185714286;-1,014285714;3,771428571;4,314285714;3,3;5,428571429;3,657142857;0,557142857;5,257142857
enAgnwdsn;eine Augenweide sein;0;18;3;5,842857143;1,528571429;3,942857143;3,9;3,9;5,014285714;3,942857143;0,114285714;5,114285714
enaltrHss;ein alter Hase sein;0;16;4;3,042253521;0,591549296;3,436619718;4,732394366;3,971830986;5,183098592;2,661971831;0,478873239;5,338028169
enandrTna;eine andere Tonart anschlagen;1;26;4;2,314285714;-0,4;3,742857143;4,128571429;3,942857143;4,457142857;3,757142857;0,414285714;5,171428571
enArschks;ein Arschkriecher sein;0;20;3;6,450704225;-2,028169014;4,295774648;5,394366197;4,38028169;4,830985915;3,422535211;0,352112676;5,366197183
enAsgbdHs;eine Ausgeburt der Hölle sein;0;25;5;6,768115942;-1,695652174;4,724637681;3,695652174;3,884057971;5,15942029;2,942028986;0,043478261;4,884057971
enAssimAh;ein Ass im Ärmel haben;1;18;5;5,520547945;1,904109589;3,178082192;5,424657534;4,150684932;4,506849315;4,821917808;0,671232877;5,273972603
enAssines;ein Ass in etwas sein;0;17;5;6,028169014;1,661971831;3,816901408;4,774647887;4,042253521;4,76056338;3,366197183;0,154929577;5,098591549
enBrttvKh;ein Brett vorm Kopf haben;1;21;5;3,225352113;-0,887323944;3,323943662;3,338028169;3,281690141;4,38028169;3,971830986;0,535211268;4,450704225
endmmGnss;ein dumme Gans sein;0;16;4;5,366197183;-1,788732394;3,816901408;4,61971831;4,070422535;4,957746479;3,366197183;0,154929577;5,112676056
enDrststh;eine Durststrecke haben;0;21;3;3,52173913;-0,47826087;3,927536232;3,68115942;2,913043478;5,014492754;3,637681159;0,260869565;4,507246377
enehrlcHs;eine ehrliche Haut sein;0;20;4;6,112676056;1,915492958;3,915492958;3,830985915;3,943661972;4,830985915;3,633802817;0,154929577;5,267605634
enErbsnhh;ein Erbsenhirn haben;0;18;3;5,117647059;-1,117647059;4,073529412;4,205882353;4,117647059;4,073529412;3,470588235;0,088235294;5,102941176
enflschFl;eine falsche Fährte legen;1;22;4;2,927536232;-1,072463768;3,724637681;3,985507246;4,014492754;3,797101449;3,753623188;0,391304348;5,376811594
enflschFv;eine falsche Fährte verfolgen;1;26;4;3,788732394;-0,633802817;3,774647887;4,577464789;4,295774648;3,76056338;3,830985915;0,366197183;5,197183099
enflschSs;eine falsche Schlange sein;0;23;4;6,1;-1,642857143;4,414285714;4,857142857;4,071428571;5,357142857;3,157142857;0,271428571;5,228571429
enFlsidBs;ein Fels in der Brandung sein;1;24;6;5,169014085;1,112676056;3,718309859;4,169014085;3,309859155;4,830985915;3,577464789;0,352112676;4,746478873
enGnshtkr;eine Gänsehaut kriegen;0;20;3;3,577464789;0,197183099;4,774647887;5,676056338;5,295774648;3,901408451;4,774647887;0,718309859;5,394366197
enGrnschs;ein Grünschnabel sein;0;19;3;2,642857143;-0,728571429;3,657142857;3,871428571;3,971428571;4,8;2,985714286;0,1;4,628571429
engschlBh;eingeschlafene Beine haben;0;24;3;2,857142857;-0,542857143;3,742857143;4,6;4,628571429;3,657142857;3,885714286;0,4;4,7
enGsmwdTR;ein Gesicht machen wie drei Tage Regenwetter;0;38;7;4,457142857;-1,628571429;4,571428571;4,185714286;3,985714286;4,742857143;3,442857143;0,071428571;4,942857143
enGzkrgns;ein Geizkragen sein;0;17;3;5,563380282;-1,225352113;4,028169014;4,845070423;4,774647887;4,295774648;3,830985915;0,366197183;5,563380282
enhlbPrts;eine halbe Portion sein;0;20;4;2,8;-0,857142857;3,9;4,542857143;3,828571429;4,414285714;3,557142857;0,142857143;4,642857143
enHndlbnf;ein Hundeleben führen;0;19;3;4,652173913;-0,913043478;4,202898551;3,942028986;3,47826087;5,260869565;3,666666667;0,260869565;5,072463768
enHrindSf;ein Haar in der Suppe finden;1;23;6;2,816901408;-0,732394366;3,661971831;4,197183099;3,253521127;4,591549296;3,985915493;0,718309859;5,126760563
enHrzasSh;ein Herz aus Stein haben;0;20;5;6,436619718;-1,985915493;4,535211268;5,38028169;4,690140845;5,38028169;3,957746479;0,154929577;5,563380282
enHrzueSs;ein Herz und eine Seele sein;0;23;6;7,236111111;2,430555556;4,833333333;5,569444444;4,694444444;5,013888889;3,722222222;0,166666667;5,638888889
enidLudLg;einem ist die Laus über die Leber gelaufen;0;35;8;4,130434783;-0,942028986;4,246376812;3,768115942;3,202898551;5,739130435;3,434782609;0,130434783;5,130434783
enJmmrlps;ein Jammerlappen sein;0;19;3;6,178082192;-2,04109589;4,150684932;5,369863014;5;4,643835616;3,369863014;0,397260274;5,095890411
enlhmEnts;eine lahme Ente sein;0;17;4;3,157142857;-1,071428571;3,814285714;4,185714286;3,528571429;4,571428571;3,814285714;0,228571429;4,5
enlngLtnh;eine lange Leitung haben;1;21;4;3,2;-1,085714286;3,471428571;4,5;3,8;5,114285714;3,928571429;0,485714286;5,114285714
enlngsGsm;ein langes Gesicht machen;0;22;4;3,232876712;-1,232876712;3,904109589;5,630136986;4,561643836;4,493150685;4,287671233;0,726027397;5,136986301
enlssMndh;ein loses Mundwerk haben;0;21;4;4,2;-0,8;3,785714286;4,085714286;4,142857143;5,128571429;3,614285714;0,171428571;5,142857143
enLstlswr;eine Last loswerden;1;17;3;3,671428571;1,271428571;4,042857143;4,7;4,7;4,4;3,5;0,728571429;5,071428571
enmkmmelh;einem kommt etwas langsam hoch ;1;26;6;3,718309859;-0,788732394;4,070422535;4,704225352;3,845070423;4,478873239;3,85915493;0,492957746;4,816901408
ennandrBh;einen an der Birne haben;0;20;5;3,782608696;-0,826086957;4,31884058;4,768115942;3,347826087;4,884057971;3,463768116;0,101449275;5,202898551
ennBlhdKw;einen Blick hinter die Kulissen werfen;1;33;6;2;0,428571429;3,157142857;4,614285714;4,185714286;4,728571429;3,728571429;0,571428571;5,385714286
ennDchsch;einen Dachschaden haben;1;21;3;3,957746479;-1,169014085;4,211267606;4,309859155;3,816901408;4,985915493;3,957746479;0,647887324;5,436619718
