FED;FEDfull;Ambiguity.D;Length.L;Length.W;Emovalsq;Emoval;Arousal;Familiarity;Sem.transp;Figurative;Concrete;Ambig;Confidence
dFligmchn;die Fliege machen;0;15;3;1,913043478;-0,202898551;2,942028986;4,768115942;3,405797101;5,144927536;3,434782609;0,144927536;5,202898551
dFrssplrn;die Fresse polieren;0;17;3;4,957746479;-1,154929577;4,830985915;4,676056338;3,478873239;5,056338028;3,661971831;0,323943662;5,098591549
dFsshchlg;die Füße hochlegen;1;16;3;2,61971831;0,535211268;3,056338028;4,661971831;4,197183099;3,366197183;4,352112676;0,901408451;5
dFssngvrl;die Fassung verlieren;1;19;3;5,014285714;-1,471428571;4,928571429;4,928571429;4,257142857;4,371428571;3,228571429;0,257142857;5,057142857
dggniskKg;dagegen ist kein Kraut gewachsen;1;28;5;2,585714286;-0,757142857;3,171428571;3,085714286;3,157142857;5,171428571;3,271428571;0,328571429;5,171428571
dgnzNckAz;die ganze Nacht kein Auge zumachen;1;29;6;2,309859155;-0,957746479;4,154929577;5,450704225;5,338028169;3,169014085;4,887323944;0,647887324;5,535211268
dHivSidHg;das Herz ist vor Schreck in die Hose gerutscht;0;38;9;3;-1,028985507;4,971014493;5,144927536;4,130434783;5,028985507;3,971014493;0,15942029;5,057971014
dHndindSl;die Hände in den Schoß legen;1;23;6;2,1;-0,185714286;3,414285714;4,185714286;3,528571429;4,414285714;3,771428571;0,628571429;4,957142857
dHsnvllhb;die Hosen voll haben;1;17;4;4,61971831;-1,211267606;4,436619718;5,366197183;4,14084507;4,816901408;4,352112676;0,549295775;5,352112676
dKckistaD;die Kacke ist am Dampfen;1;20;5;3,785714286;-1,071428571;4,357142857;3,885714286;3,628571429;5,014285714;3,257142857;0,2;4,871428571
dKrchimDl;die Kirche im Dorf lassen;0;21;5;2,514285714;0,514285714;3,357142857;3,4;3,342857143;5,314285714;3,014285714;0,271428571;4,914285714
dKrschaSs;die Kirsche aufs Sahnehäubchen setzen;1;33;5;4,274193548;1,338709677;3,838709677;3,806451613;4,016129032;4,725806452;4,258064516;0,661290323;5,080645161
dKrtnoffl;die Karten offen legen;1;19;4;2,890410959;1,191780822;3,452054795;5,342465753;4,890410959;4,095890411;4,123287671;0,767123288;5,369863014
dKtzasdSl;die Katze aus dem Sack lassen;1;24;6;2,275362319;0,420289855;4,043478261;4,695652174;3,550724638;4,971014493;3,608695652;0,652173913;5,289855072
dKtzimSck;die Katze im Sack kaufen;1;20;5;2,652777778;-0,263888889;3,791666667;4,736111111;3,333333333;5,430555556;3,541666667;0,5;4,805555556
dmmwBhnns;dumm wie Bohnenstroh sein;0;22;4;6,142857143;-1,914285714;4,657142857;4,457142857;4,771428571;4,128571429;3,442857143;0,114285714;5,171428571
dmmwBrtsn;dumm wie Brot sein;0;15;4;6,057142857;-2,057142857;4,314285714;4,571428571;3,571428571;4,871428571;2,928571429;0,1;5,2
dmTdenScs;dem Tod ein Schnippchen schlagen;0;28;5;2,647058824;0,911764706;3,985294118;3,308823529;3,088235294;5,220588235;3,235294118;0,102941176;4,382352941
dmTdinsAb;dem Tod ins Angesicht blicken;0;25;5;5,625;-1,458333333;4,777777778;4,805555556;4,333333333;4,708333333;3,736111111;0,222222222;4,902777778
dmTdvndSs;dem Tod von der Schippe springen;0;27;6;4,309859155;0,929577465;4,605633803;3,676056338;3,647887324;5,267605634;3,394366197;0,098591549;5,225352113
dmWntchtz;dem Wein tüchtig zusprechen;1;24;4;2,709677419;0,225806452;3,306451613;3,806451613;3,467741935;5,322580645;4,080645161;0,258064516;4
dnBckzmGm;den Bock zum Gärtner machen;0;23;5;2,565217391;-0,536231884;2,898550725;2,971014493;3,449275362;4,797101449;3,782608696;0,188405797;4,84057971
dnBdnudFv;den Boden unter den Füßen verlieren;1;30;6;4,275362319;-1,260869565;4,405797101;4,913043478;3,985507246;4,724637681;3,623188406;0,52173913;5,173913043
dnBrtnrch;den Braten riechen;1;16;3;3,287671233;0,273972603;4,123287671;4,424657534;4,082191781;4,712328767;4,342465753;0,931506849;4,945205479
DnchkrkHm;Danach kräht kein Hahn mehr;0;23;5;2,855072464;-0,594202899;3,405797101;3,420289855;3,855072464;4,956521739;3,565217391;0,449275362;4,971014493
dNcknhrst;die Nackenhaare sträuben;1;22;3;2,782608696;-0,753623188;4,260869565;3,405797101;3,52173913;4,666666667;3,565217391;0,333333333;5
dnDmnidWd;den Daumen in die Wunde drücken;1;26;6;4,188405797;-0,420289855;4,231884058;3,869565217;3,608695652;4,826086957;3,971014493;0,579710145;4,623188406
dnFdnvrlr;den Faden verlieren;1;17;3;2,666666667;-0,777777778;3,444444444;5,319444444;3,930555556;4,916666667;3,486111111;0,541666667;5,166666667
dnFlttrmb;den Flattermann bekommen;0;22;3;2,657142857;-0,514285714;4,057142857;3,714285714;3,357142857;4,814285714;3,628571429;0,242857143;5,171428571
dnGrtlens;den Gürtel enger schnallen;1;23;4;2,275362319;-0,130434783;3,623188406;4,391304348;3,52173913;4,608695652;3,449275362;0,695652174;5,057971014
dnHtnhmnm;den Hut nehmen müssen;1;18;4;3,411764706;-0,676470588;3,705882353;3,397058824;3,044117647;4,823529412;3,794117647;0,676470588;5,235294118
dnKpfidWh;den Kopf in den Wolken haben;0;23;6;2,563380282;0,14084507;3,76056338;4,507042254;4;5,464788732;3,633802817;0,154929577;5,112676056
dnKpfnchl;den Kopf nicht hängen lassen;1;24;5;4,746478873;1,366197183;4,690140845;5,197183099;4,915492958;4,690140845;3,830985915;0,690140845;5,112676056
dnKpfvrlr;den Kopf verlieren;0;16;3;4,943661972;-0,915492958;4,746478873;5,352112676;4,23943662;4,478873239;3,478873239;0,267605634;5,014084507
