vowel,time_index,v_time,time_abs,F1,F2,F3
a,4,0.021,8.507,745,1776,3051
a,5,0.029,8.514,799,1772,3045
a,6,0.036,8.521,806,1762,3019
a,7,0.043,8.529,826,1737,3015
a,8,0.05,8.536,830,1712,3003
a,9,0.057,8.543,835,1717,3048
a,10,0.064,8.55,826,1721,3048
a,11,0.072,8.557,806,1715,3079
a,12,0.079,8.564,792,1735,3132
a,13,0.086,8.571,728,1757,3079
a,14,0.093,8.579,582,1723,3100
a,15,0.1,8.586,452,1638,3155
uu,1,0,9.355,946,2231,3520
uu,2,0.008,9.363,230,1682,2728
uu,3,0.016,9.372,243,1578,2432
uu,4,0.024,9.38,249,1235,2592
uu,5,0.033,9.388,247,1323,2865
uu,6,0.041,9.396,259,1426,2844
uu,7,0.049,9.404,280,1725,2979
uu,8,0.057,9.412,250,1413,2756
uu,9,0.065,9.42,266,1116,2587
uu,10,0.073,9.429,295,1113,2265
uu,11,0.081,9.437,300,939,2364
uu,12,0.09,9.445,284,830,2530
uu,13,0.098,9.453,275,762,2528
uu,14,0.106,9.461,253,728,2546
uu,15,0.114,9.469,242,735,2551
U,1,0,10.38,356,1160,2374
U,2,0.004,10.384,406,810,2402
U,3,0.008,10.388,398,843,2508
U,4,0.012,10.392,396,857,2559
U,5,0.016,10.396,397,857,2572
U,6,0.02,10.4,398,840,2629
U,7,0.024,10.404,394,818,2668
U,8,0.028,10.408,385,792,2689
U,9,0.032,10.412,371,777,2723
U,10,0.036,10.416,357,769,2750
U,11,0.04,10.42,342,772,2768
U,12,0.044,10.424,325,783,2777
U,13,0.048,10.428,307,797,2779
U,14,0.052,10.432,285,812,2769
U,15,0.057,10.436,538,1778,3606
oo,1,0,11.186,282,1122,2602
oo,2,0.011,11.196,322,919,2519
oo,3,0.021,11.207,358,959,2413
oo,4,0.032,11.217,388,1095,2458
oo,5,0.042,11.228,403,1240,2688
oo,6,0.053,11.239,425,1565,2912
oo,7,0.064,11.249,407,670,2602
oo,8,0.074,11.26,370,615,2719
oo,9,0.085,11.27,323,720,2773
