02V01020402030000	Ggnsdd	Vmpr2d
02V01020402030001	Ggnsdd-n	Vmpr2d-n
02V01020402030002	Ggnsdd-d	Vmpr2d-y
02V01020403010000	Ggnste	Vmpr3s
02V01020403010001	Ggnste-n	Vmpr3s-n
02V01020403010002	Ggnste-d	Vmpr3s-y
02V01020403020000	Ggnstm	Vmpr3p
02V01020403020001	Ggnstm-n	Vmpr3p-n
02V01020403020002	Ggnstm-d	Vmpr3p-y
02V01020403030000	Ggnstd	Vmpr3d
02V01020403030001	Ggnstd-n	Vmpr3d-n
02V01020403030002	Ggnstd-d	Vmpr3d-y
02V01020701020000	Ggnvpm	Vmpm1p
02V01020701030000	Ggnvpd	Vmpm1d
02V01020702010000	Ggnvde	Vmpm2s
02V01020702020000	Ggnvdm	Vmpm2p
02V01020702030000	Ggnvdd	Vmpm2d
02V01030100000000	Ggvn	Vmbn
02V01030200000000	Ggvm	Vmbu
02V01030300010100	Ggvd-em	Vmbp-sm
02V01030300010200	Ggvd-ez	Vmbp-sf
02V01030300010300	Ggvd-es	Vmbp-sn
02V01030300020100	Ggvd-mm	Vmbp-pm
02V01030300020200	Ggvd-mz	Vmbp-pf
02V01030300020300	Ggvd-ms	Vmbp-pn
02V01030300030100	Ggvd-dm	Vmbp-dm
02V01030300030200	Ggvd-dz	Vmbp-df
02V01030300030300	Ggvd-ds	Vmbp-dn
02V01030401010000	Ggvspe	Vmbr1s
02V01030401020000	Ggvspm	Vmbr1p
02V01030401030000	Ggvspd	Vmbr1d
02V01030401030200	Ggvspdz	Vmbr1df
02V01030402010000	Ggvsde	Vmbr2s
02V01030402020000	Ggvsdm	Vmbr2p
02V01030402030000	Ggvsdd	Vmbr2d
02V01030403010000	Ggvste	Vmbr3s
02V01030403020000	Ggvstm	Vmbr3p
02V01030403030000	Ggvstd	Vmbr3d
02V01030501010000	Ggvppe	Vmbf1s
02V01030501020000	Ggvppm	Vmbf1p
02V01030501030000	Ggvppd	Vmbf1d
02V01030502010000	Ggvpde	Vmbf2s
02V01030502020000	Ggvpdm	Vmbf2p
02V01030502030000	Ggvpdd	Vmbf2d
02V01030503010000	Ggvpte	Vmbf3s
02V01030503020000	Ggvptm	Vmbf3p
02V01030503030000	Ggvptd	Vmbf3d
02V01030701020000	Ggvvpm	Vmbm1p
02V01030701030000	Ggvvpd	Vmbm1d
02V01030702010000	Ggvvde	Vmbm2s
02V01030702020000	Ggvvdm	Vmbm2p
02V01030702030000	Ggvvdd	Vmbm2d
02V02000100000000	Gp-n	Va-n
02V02000200000000	Gp-m	Va-u
02V02000300010100	Gp-d-em	Va-p-sm
02V02000300010200	Gp-d-ez	Va-p-sf
02V02000300010300	Gp-d-es	Va-p-sn
02V02000300020100	Gp-d-mm	Va-p-pm
02V02000300020200	Gp-d-mz	Va-p-pf
02V02000300020300	Gp-d-ms	Va-p-pn
02V02000300030100	Gp-d-dm	Va-p-dm
02V02000300030200	Gp-d-dz	Va-p-df
02V02000300030300	Gp-d-ds	Va-p-dn
02V02000401010001	Gp-spe-n	Va-r1s-n
02V02000401010002	Gp-spe-d	Va-r1s-y
02V02000401020001	Gp-spm-n	Va-r1p-n
02V02000401020002	Gp-spm-d	Va-r1p-y
02V02000401030001	Gp-spd-n	Va-r1d-n
02V02000401030002	Gp-spd-d	Va-r1d-y
02V02000401030201	Gp-spdzn	Va-r1dfn
02V02000402010001	Gp-sde-n	Va-r2s-n
02V02000402010002	Gp-sde-d	Va-r2s-y
02V02000402020001	Gp-sdm-n	Va-r2p-n
02V02000402020002	Gp-sdm-d	Va-r2p-y
02V02000402030001	Gp-sdd-n	Va-r2d-n
02V02000402030002	Gp-sdd-d	Va-r2d-y
02V02000403010001	Gp-ste-n	Va-r3s-n
02V02000403010002	Gp-ste-d	Va-r3s-y
02V02000403020001	Gp-stm-n	Va-r3p-n
02V02000403020002	Gp-stm-d	Va-r3p-y
02V02000403030001	Gp-std-n	Va-r3d-n
02V02000403030002	Gp-std-d	Va-r3d-y
02V02000501010001	Gp-ppe-n	Va-f1s-n
02V02000501010002	Gp-ppe-d	Va-f1s-y
02V02000501020001	Gp-ppm-n	Va-f1p-n
02V02000501020002	Gp-ppm-d	Va-f1p-y
02V02000501030000	Gp-ppd	Va-f1d
02V02000501030001	Gp-ppd-n	Va-f1d-n
02V02000501030002	Gp-ppd-d	Va-f1d-y
02V02000502010001	Gp-pde-n	Va-f2s-n
02V02000502010002	Gp-pde-d	Va-f2s-y
02V02000502020001	Gp-pdm-n	Va-f2p-n
02V02000502030001	Gp-pdd-n	Va-f2d-n
02V02000503010001	Gp-pte-n	Va-f3s-n
02V02000503010002	Gp-pte-d	Va-f3s-y
02V02000503020001	Gp-ptm-n	Va-f3p-n
02V02000503020002	Gp-ptm-d	Va-f3p-y
02V02000503030001	Gp-ptd-n	Va-f3d-n
02V02000600000000	Gp-g	Va-c
02V02000600000002	Gp-g---d	Va-c---y
02V02000701020000	Gp-vpm	Va-m1p
02V02000701030000	Gp-vpd	Va-m1d
02V02000702010000	Gp-vde	Va-m2s
02V02000702020000	Gp-vdm	Va-m2p
02V02000702030000	Gp-vdd	Va-m2d
03A010101010101	Ppnmein	Agpmsnn
03A010101010102	Ppnmeid	Agpmsny
03A010101010200	Ppnmer	Agpmsg
03A010101010300	Ppnmed	Agpmsd
03A010101010400	Ppnmet	Agpmsa
03A010101010401	Ppnmetn	Agpmsan
03A010101010402	Ppnmetd	Agpmsay
03A010101010500	Ppnmem	Agpmsl
03A010101010600	Ppnmeo	Agpmsi
03A010101020100	Ppnmdi	Agpmdn
03A010101020200	Ppnmdr	Agpmdg
03A010101020300	Ppnmdd	Agpmdd
03A010101020400	Ppnmdt	Agpmda
03A010101020500	Ppnmdm	Agpmdl
03A010101020600	Ppnmdo	Agpmdi
03A010101030100	Ppnmmi	Agpmpn
03A010101030200	Ppnmmr	Agpmpg
03A010101030300	Ppnmmd	Agpmpd
03A010101030400	Ppnmmt	Agpmpa
03A010101030500	Ppnmmm	Agpmpl
03A010101030600	Ppnmmo	Agpmpi
03A010102010100	Ppnzei	Agpfsn
03A010102010200	Ppnzer	Agpfsg
03A010102010300	Ppnzed	Agpfsd
03A010102010400	Ppnzet	Agpfsa
03A010102010500	Ppnzem	Agpfsl
03A010102010600	Ppnzeo	Agpfsi
03A010102020100	Ppnzdi	Agpfdn
03A010102020200	Ppnzdr	Agpfdg
03A010102020300	Ppnzdd	Agpfdd
03A010102020400	Ppnzdt	Agpfda
03A010102020500	Ppnzdm	Agpfdl
03A010102020600	Ppnzdo	Agpfdi
03A010102030100	Ppnzmi	Agpfpn
03A010102030200	Ppnzmr	Agpfpg
03A010102030300	Ppnzmd	Agpfpd
03A010102030400	Ppnzmt	Agpfpa
03A010102030500	Ppnzmm	Agpfpl
03A010102030600	Ppnzmo	Agpfpi
03A010103010100	Ppnsei	Agpnsn
03A010103010200	Ppnser	Agpnsg
03A010103010300	Ppnsed	Agpnsd
03A010103010400	Ppnset	Agpnsa
03A010103010500	Ppnsem	Agpnsl
03A010103010600	Ppnseo	Agpnsi
03A010103020100	Ppnsdi	Agpndn
03A010103020200	Ppnsdr	Agpndg
03A010103020300	Ppnsdd	Agpndd
03A010103020400	Ppnsdt	Agpnda
03A010103020500	Ppnsdm	Agpndl
03A010103020600	Ppnsdo	Agpndi
03A010103030100	Ppnsmi	Agpnpn
03A010103030200	Ppnsmr	Agpnpg
03A010103030300	Ppnsmd	Agpnpd
03A010103030400	Ppnsmt	Agpnpa
03A010103030500	Ppnsmm	Agpnpl
03A010103030600	Ppnsmo	Agpnpi
03A010201010102	Pppmeid	Agcmsny
03A010201010200	Pppmer	Agcmsg
03A010201010300	Pppmed	Agcmsd
03A010201010400	Pppmet	Agcmsa
03A010201010402	Pppmetd	Agcmsay
03A010201010500	Pppmem	Agcmsl
