vowel,time_index,v_time,time_abs,F1,F2,F3
ii,8,0.06,20.22,311,2742,3672
ii,9,0.069,20.228,305,2681,3630
ii,10,0.078,20.237,317,2686,3596
ii,11,0.086,20.246,374,2700,3593
ii,12,0.095,20.254,439,2698,3590
ii,13,0.104,20.263,458,2766,3625
ii,14,0.112,20.271,492,2762,3591
ii,15,0.121,20.28,527,2659,3458
ee,1,0,21.89,432,1920,2676
ee,2,0.012,21.903,486,2258,2886
ee,3,0.025,21.915,493,2375,2965
ee,4,0.037,21.927,493,2465,3247
ee,5,0.049,21.939,495,2593,3120
ee,6,0.061,21.952,496,2632,3414
ee,7,0.074,21.964,496,2651,3437
ee,8,0.086,21.976,495,2381,2649
ee,9,0.098,21.988,495,2614,3492
ee,10,0.11,22.001,491,2636,3352
ee,11,0.123,22.013,486,1665,3186
ee,12,0.135,22.025,483,3180,3402
ee,13,0.147,22.037,480,2682,3507
ee,14,0.159,22.05,476,2689,3431
ee,15,0.172,22.062,461,2734,3309
ee,1,0,23.91,433,2029,2443
ee,2,0.012,23.922,469,2100,2539
ee,3,0.025,23.935,490,2316,2768
ee,4,0.037,23.947,495,2389,2836
ee,5,0.049,23.959,496,2479,2970
ee,6,0.061,23.971,500,2574,2883
ee,7,0.074,23.984,504,2609,2824
ee,8,0.086,23.996,503,2423,2803
ee,9,0.098,24.008,502,2308,2853
ee,10,0.11,24.02,495,2154,2954
ee,11,0.123,24.033,486,2769,2818
ee,12,0.135,24.045,482,2829,2861
ee,13,0.147,24.057,479,2759,3414
ee,14,0.159,24.069,475,2668,3436
ee,15,0.172,24.082,467,2675,3323
OE,1,0,26.408,440,1717,2241
OE,2,0.011,26.42,480,1679,2204
OE,3,0.023,26.431,505,1521,2219
OE,4,0.034,26.442,533,1539,2021
OE,5,0.045,26.454,545,1617,2017
OE,6,0.057,26.465,564,1596,2016
OE,7,0.068,26.476,590,1672,1997
OE,8,0.079,26.488,606,1761,2023
OE,9,0.091,26.499,603,1745,2216
OE,10,0.102,26.51,592,1754,2293
OE,11,0.114,26.522,575,1760,2388
OE,12,0.125,26.533,568,1771,2462
OE,13,0.136,26.544,552,1717,2448
OE,14,0.148,26.556,556,1776,2468
OE,15,0.159,26.567,562,1763,2252
AA,1,0,28.525,530,1530,3261
AA,2,0.021,28.546,847,1014,2788
AA,3,0.042,28.567,710,913,2910
AA,4,0.063,28.587,800,1208,3074
AA,5,0.084,28.608,930,1324,3171
AA,6,0.104,28.629,936,1282,2863
AA,7,0.125,28.65,988,1411,3194
AA,8,0.146,28.671,1007,1382,3142
AA,9,0.167,28.692,1025,1347,2970
AA,10,0.188,28.713,1020,1255,3108
AA,11,0.209,28.734,1026,1309,2837
AA,12,0.23,28.755,1020,1353,2771
AA,13,0.251,28.775,1012,1468,2915
AA,14,0.271,28.796,988,1557,2964
AA,15,0.292,28.817,971,1684,3045
ee,1,0,30.858,379,1852,2802
ee,2,0.014,30.872,461,2497,3187
ee,3,0.028,30.886,495,2517,3394
ee,4,0.042,30.9,492,2538,3476
ee,5,0.056,30.914,496,2592,3494
ee,6,0.07,30.928,495,2606,3394
ee,7,0.084,30.942,506,2620,3510
ee,8,0.098,30.956,505,2578,3516
ee,9,0.112,30.97,500,2610,3476
ee,10,0.126,30.984,499,2610,3430
ee,11,0.14,30.998,497,2664,3357
ee,12,0.154,31.012,490,2466,3307
ee,13,0.168,31.026,487,2731,3382
ee,14,0.181,31.04,483,2579,3365
ee,15,0.195,31.053,480,2612,3379
