vowel,time_index,v_time,time_abs,F1,F2,F3
ii,1,0,0.999,429,2799,3049
ii,2,0.017,1.016,300,3017,3420
ii,3,0.034,1.033,318,3213,3601
ii,4,0.05,1.05,222,2822,3058
ii,5,0.067,1.067,249,3377,3649
ii,6,0.084,1.083,222,2447,3290
ii,7,0.101,1.1,223,2513,3520
ii,8,0.117,1.117,240,2503,3568
ii,9,0.134,1.134,253,2551,3581
ii,10,0.151,1.15,264,2625,3624
ii,11,0.168,1.167,279,2603,3541
ii,12,0.185,1.184,282,2638,3521
ii,13,0.201,1.201,288,2680,3258
ii,14,0.218,1.218,290,2553,2979
ii,15,0.235,1.234,304,2509,3263
Ea,1,0,3.013,454,2294,3124
Ea,2,0.015,3.028,451,2177,2677
Ea,3,0.03,3.043,465,2225,2708
Ea,4,0.045,3.058,479,2385,2860
Ea,5,0.06,3.072,476,2513,2812
Ea,6,0.074,3.087,472,2603,3002
Ea,7,0.089,3.102,469,2604,2880
Ea,8,0.104,3.117,480,2609,2911
Ea,9,0.119,3.132,507,2519,2885
Ea,10,0.134,3.147,555,2518,2936
Ea,11,0.149,3.162,620,2250,2897
Ea,12,0.164,3.177,664,769,2220
Ea,13,0.179,3.192,703,2031,2239
Ea,14,0.194,3.207,692,1910,2106
Ea,15,0.209,3.221,560,1809,2209
EE,1,0,5.269,538,1977,3157
EE,2,0.017,5.286,592,2060,2210
EE,3,0.034,5.303,613,2108,2923
EE,4,0.051,5.32,626,2136,2966
EE,5,0.068,5.337,634,2230,2857
EE,6,0.085,5.354,639,2265,2766
EE,7,0.102,5.371,641,2316,2983
EE,8,0.119,5.388,632,743,2287
EE,9,0.137,5.405,646,1270,2331
EE,10,0.154,5.422,662,1736,2543
EE,11,0.171,5.439,665,1161,2318
EE,12,0.188,5.456,693,2133,2967
EE,13,0.205,5.473,679,843,1993
EE,14,0.222,5.49,584,970,1821
EE,15,0.239,5.508,543,1691,3152
yy,1,0,7.505,389,2079,3222
yy,2,0.014,7.518,420,1981,2282
yy,3,0.027,7.532,465,2001,2431
yy,4,0.041,7.545,484,2027,2557
yy,5,0.054,7.559,487,1980,2545
yy,6,0.068,7.573,482,1825,2470
yy,7,0.082,7.586,478,1822,2223
yy,8,0.095,7.6,477,1817,2303
yy,9,0.109,7.613,482,1812,2447
yy,10,0.122,7.627,478,1807,2357
yy,11,0.136,7.641,475,1796,2377
yy,12,0.15,7.654,465,1792,2290
yy,13,0.163,7.668,451,1844,2002
yy,14,0.177,7.681,430,1426,1920
yy,15,0.19,7.695,377,809,1878
OOE,1,0,9.574,324,2062,3076
OOE,2,0.017,9.591,480,1865,2586
OOE,3,0.034,9.607,476,1845,2349
OOE,4,0.05,9.624,505,1900,2521
OOE,5,0.067,9.641,519,1615,2335
OOE,6,0.084,9.658,540,1974,2314
OOE,7,0.101,9.674,499,1514,1992
OOE,8,0.117,9.691,515,1863,2587
OOE,9,0.134,9.708,525,1765,2623
OOE,10,0.151,9.725,521,1767,2646
OOE,11,0.168,9.742,509,1785,2706
OOE,12,0.185,9.758,515,1680,2620
OOE,13,0.201,9.775,503,1477,1809
OOE,14,0.218,9.792,476,1473,1716
OOE,15,0.235,9.809,452,1421,1650
AA,1,0,11.48,676,912,2117
AA,2,0.018,11.498,725,1194,1526
AA,3,0.036,11.516,770,1169,1499
AA,4,0.053,11.534,776,1228,1624
AA,5,0.071,11.552,777,1213,1634
AA,6,0.089,11.569,755,1190,1558
AA,7,0.107,11.587,746,1163,1533
AA,8,0.125,11.605,750,1157,1501
AA,9,0.142,11.623,730,1138,1513
AA,10,0.16,11.641,726,1128,1513
AA,11,0.178,11.658,790,1219,1528
AA,12,0.196,11.676,793,1207,1531
AA,13,0.213,11.694,741,1089,1482
AA,14,0.231,11.712,729,802,1440
AA,15,0.249,11.729,595,944,1383
uu,1,0,13.601,336,615,3032
uu,2,0.007,13.608,429,708,3029
uu,3,0.014,13.615,427,751,2956
uu,4,0.021,13.622,415,747,3018
uu,5,0.028,13.629,411,727,3035
uu,6,0.035,13.636,414,699,3129
uu,7,0.043,13.643,409,667,3140
uu,8,0.05,13.65,394,638,3105
uu,9,0.057,13.657,379,631,3108
uu,10,0.064,13.664,366,624,3081
uu,11,0.071,13.672,346,614,2938
uu,12,0.078,13.679,330,624,2839
uu,13,0.085,13.686,340,588,2875
uu,14,0.092,13.693,352,554,3086
uu,15,0.099,13.7,329,542,3136
OO,1,0,15.642,601,1331,3513
OO,2,0.01,15.652,649,1265,3359
OO,3,0.021,15.662,604,772,1345
OO,4,0.031,15.673,595,880,1307
OO,5,0.042,15.683,589,884,1265
OO,6,0.052,15.694,655,775,1091
OO,7,0.062,15.704,669,1047,3945
OO,8,0.073,15.715,663,1054,3995
OO,9,0.083,15.725,654,1045,3857
OO,10,0.094,15.735,651,1060,3819
OO,11,0.104,15.746,673,714,1115
OO,12,0.115,15.756,613,729,1200
OO,13,0.125,15.767,606,788,1276
OO,14,0.135,15.777,612,749,1294
OO,15,0.146,15.787,635,1155,3052
I,1,0,17.617,304,2320,2680
I,2,0.004,17.622,314,2346,2745
I,3,0.009,17.626,315,2369,2866
I,4,0.013,17.631,305,2394,2844
I,5,0.018,17.635,300,2406,2909
I,6,0.022,17.64,301,2407,3045
I,7,0.027,17.644,304,2404,3191
I,8,0.031,17.649,307,2435,3276
I,9,0.036,17.653,310,2477,3351
I,10,0.04,17.658,311,2519,3440
I,11,0.045,17.662,304,2555,3458
I,12,0.049,17.667,298,2589,3454
I,13,0.054,17.671,296,2614,3437
I,14,0.058,17.676,304,2614,3426
I,15,0.063,17.68,332,2605,3484
E,1,0,19.537,523,1945,2517
E,2,0.007,19.544,532,2032,2412
E,3,0.014,19.551,536,2098,2490
E,4,0.022,19.558,563,2128,2985
E,5,0.029,19.566,588,2156,2981
E,6,0.036,19.573,609,2168,2993
E,7,0.043,19.58,623,2171,2995
E,8,0.051,19.587,630,2172,3014
E,9,0.058,19.595,641,2171,3044
E,10,0.065,19.602,653,1053,2190
E,11,0.072,19.609,668,1216,2180
E,12,0.08,19.616,684,971,2117
E,13,0.087,19.623,688,917,2082
E,14,0.094,19.631,685,794,2008
E,15,0.101,19.638,641,698,1954
Y,1,0,21.183,486,1852,2261
Y,2,0.005,21.188,497,1890,2295
Y,3,0.01,21.193,496,1905,2263
Y,4,0.015,21.198,498,1885,2222
Y,5,0.02,21.203,505,1857,2177
Y,6,0.025,21.208,516,1863,2142
Y,7,0.03,21.213,527,1881,2439
Y,8,0.035,21.218,531,1888,2741
Y,9,0.04,21.223,532,1873,2844
